order_id,order_date,customer_id,customer_age,segment,city,state,region,product_category,product_name,sales,quantity,discount,profit,order_priority,profit_margin
1001,2025-01-02,C001,35,Consumer,New York,NY,North,Electronics,Laptop,850.0,1.0,0.1,114.98,High,0.13527058823529411
1002,2025-01-03,C002,28,Corporate,Boston,MA,North,Office Supplies,Printer Ink,42.5,3.0,0.0,6.0,Medium,0.1411764705882353
1003,2025-01-04,C003,42,Consumer,Chicago,IL,Central,Furniture,Office Chair,180.0,2.0,0.08,34.0,Low,0.18888888888888888
1004,2025-01-05,C004,51,Home Office,Atlanta,GA,South,Office Supplies,Notebook Pack,19.0,10.0,0.0,2.8,Low,0.14736842105263157
1005,2025-01-06,C005,26,Consumer,Denver,CO,West,Electronics,Monitor,275.0,2.0,0.12,38.0,High,0.13818181818181818
1006,2025-01-07,C006,45,Corporate,San Francisco,CA,West,Accessories,Usb Hub,35.0,5.0,0.0,4.1,Medium,0.11714285714285713
1007,2025-01-08,C007,34,Consumer,Miami,FL,South,Electronics,Keyboard,60.0,6.0,0.05,10.0,Low,0.16666666666666666
1008,2025-01-09,C008,63,Home Office,Dallas,TX,South,Electronics,Laptop,986.25,1.0,0.15,114.98,High,0.1165830164765526
1009,2025-01-10,C009,29,Consumer,Seattle,WA,West,Furniture,Desk,420.0,1.0,0.0,58.0,Low,0.1380952380952381
1010,2025-01-11,C010,40,Corporate,Austin,TX,South,Office Supplies,Desk Organizer,16.0,4.0,0.0,1.5,Medium,0.09375
1011,2025-01-12,C011,37,Consumer,Miami,FL,South,Accessories,Mouse,25.0,7.0,0.1,4.35,Low,0.174
1012,2025-01-13,C012,41,Corporate,San Diego,CA,West,Office Supplies,Toner,99.0,4.0,0.0,11.0,Medium,0.1111111111111111
1013,2025-01-14,C013,50,Consumer,Nashville,TN,South,Furniture,Storage Cabinet,620.0,1.0,0.1,72.0,High,0.11612903225806452
1014,2025-01-15,C014,31,Home Office,Portland,OR,West,Electronics,Tablet,299.0,2.0,0.18,36.0,Medium,0.12040133779264214
1015,2025-01-16,C015,56,Corporate,Atlanta,GA,South,Office Supplies,Printer,402.0,1.0,0.05,51.0,High,0.12686567164179105
1016,2025-01-17,C016,44,Home Office,Chicago,IL,Central,Office Supplies,Notebook Pack,29.0,10.375,0.0,4.5,Low,0.15517241379310345
1017,2025-01-18,C017,55,Consumer,New Orleans,LA,South,Accessories,Webcam,88.0,4.0,0.12,12.8,Medium,0.14545454545454548
1018,2025-01-19,C018,41,Corporate,Baltimore,MD,East,Office Supplies,Printer Ink,35.0,9.0,0.1,4.9,Low,0.14
1019,2025-01-20,C019,33,Consumer,Charlotte,NC,South,Furniture,Standing Desk,610.0,1.0,0.15,95.0,High,0.1557377049180328
1020,2025-01-21,C020,39,Home Office,Indianapolis,IN,Central,Electronics,Monitor,253.0,2.0,0.0,29.0,Low,0.11462450592885376
1021,2025-01-22,C021,29,Corporate,Denver,CO,West,Office Supplies,Folder Set,15.0,10.375,0.0,2.1,Low,0.14
1022,2025-01-23,C022,48,Consumer,Las Vegas,NV,West,Accessories,Headset,64.0,3.0,0.0,9.0,Medium,0.140625
1023,2025-01-24,C023,52,Consumer,Columbus,OH,Central,Electronics,Tablet,925.0,1.0,0.2,105.0,High,0.11351351351351352
1024,2025-01-25,C024,44,Consumer,Phoenix,AZ,West,Furniture,Office Chair,180.0,2.0,0.05,34.0,Low,0.18888888888888888
1025,2025-01-26,C025,46,Corporate,Charlotte,NC,South,Electronics,Printer,900.0,2.0,0.08,42.0,High,0.04666666666666667
1026,2025-01-27,C026,30,Consumer,Austin,TX,South,Furniture,Desk,986.25,1.0,0.25,114.98,High,0.1165830164765526
1027,2025-01-28,C027,65,Consumer,Orlando,FL,South,Accessories,Usb Cable,12.0,0.0,0.0,-3.5,Low,-0.2916666666666667
1028,2025-01-28,C028,23,Home Office,Indianapolis,IN,Central,Office Supplies,Paper Ream,8.0,10.0,0.1,1.1,Low,0.1375
1029,2025-01-29,C029,36,Consumer,Nashville,TN,South,Electronics,Monitor,320.0,1.0,0.08,40.0,Medium,0.125
1030,2025-01-30,C030,54,Corporate,Raleigh,NC,South,Office Supplies,Printer Ink,80.0,4.0,0.2,14.0,Medium,0.175
